binder(kg/m3),pozzolan(kg/m3),fine_aggregate(kg/m3),water(kg/m3),foaming_agent(kg/m3),measured_density(kg/m3),period_of_testing(Days),compressive_strength(MPa)
420.0,0.0,0.0,168.0,39.4,629.0,28,1.77
411.0,0.0,0.0,186.0,38.5,631.0,28,2.07
149.0,302.0,0.0,190.0,35.8,678.0,28,1.09
311.0,0.0,0.0,141.0,44.3,497.0,28,0.71
57.0,268.0,885.0,163.0,20.0,1396.0,28,0.25
57.0,787.0,0.0,484.0,8.2,1338.0,28,0.23
149.0,676.0,0.0,469.0,10.2,1304.0,28,1.1
300.0,0.0,905.0,150.0,40.0,1256.0,28,5.39
450.0,0.0,784.0,150.0,40.0,1324.0,28,12.74
300.0,0.0,650.0,250.0,40.0,1011.0,28,2.45
450.0,0.0,529.0,250.0,40.0,1069.0,28,10.78
300.0,0.0,1288.0,200.0,20.0,1648.0,28,4.9
450.0,0.0,1167.0,200.0,20.0,1707.0,28,18.5
300.0,0.0,268.0,200.0,60.0,627.0,28,1.96
450.0,0.0,147.0,200.0,60.0,687.0,28,3.43
375.0,0.0,1355.0,150.0,20.0,1805.0,28,17.65
375.0,0.0,1100.0,250.0,20.0,1550.0,28,13.5
375.0,0.0,335.0,150.0,60.0,785.0,28,4.9
375.0,0.0,800.0,250.0,60.0,529.0,28,2.94
375.0,0.0,717.0,200.0,40.0,1167.0,28,8.33
375.0,0.0,717.0,200.0,40.0,1161.0,28,8.82
375.0,0.0,717.0,200.0,40.0,1171.0,28,8.33
153.2,0.0,229.7,68.9,0.5,600.0,7,0.4
130.2,22.98,229.7,68.9,0.5,600.0,7,0.2
107.2,45.96,229.7,68.9,0.51,600.0,7,0.1
153.2,0.0,195.2,68.9,0.48,600.0,7,0.3
153.2,0.0,160.8,68.9,0.46,600.0,7,0.5
153.2,0.0,229.7,68.9,0.48,600.0,7,0.3
153.2,0.0,229.7,68.9,0.46,600.0,7,0.4
251.5,0.0,377.3,113.2,0.37,1000.0,7,2.6
251.5,0.0,377.3,113.2,0.35,1000.0,7,2.2
251.5,0.0,377.3,113.2,0.32,1000.0,7,1.6
251.5,0.0,320.7,113.2,0.33,1000.0,7,1.9
251.5,0.0,264.1,113.2,0.31,1000.0,7,2.0
213.8,37.73,377.3,113.2,0.37,1000.0,7,1.8
176.1,75.45,377.3,113.2,0.37,1000.0,7,1.6
424.9,0.0,637.3,191.2,0.29,1400.0,7,6.3
424.9,0.0,637.3,191.2,0.28,1400.0,7,8.2
424.9,0.0,637.3,191.2,0.29,1400.0,7,7.9
424.9,0.0,541.7,191.2,0.25,1400.0,7,7.5
424.9,0.0,446.1,191.2,0.17,1400.0,7,6.9
361.2,63.74,637.3,191.2,0.3,1400.0,7,5.4
297.4,127.46999999999998,637.3,191.2,0.29,1400.0,7,6.7
153.2,0.0,229.7,68.9,0.5,600.0,28,0.5
130.2,22.98,229.7,68.9,0.5,600.0,28,0.5
107.2,45.96,229.7,68.9,0.51,600.0,28,0.3
153.2,0.0,195.2,68.9,0.48,600.0,28,0.4
153.2,0.0,160.8,68.9,0.46,600.0,28,0.5
153.2,0.0,229.7,68.9,0.48,600.0,28,0.5
153.2,0.0,229.7,68.9,0.46,600.0,28,0.6
251.5,0.0,377.3,113.2,0.37,1000.0,28,2.9
251.5,0.0,377.3,113.2,0.35,1000.0,28,3.2
251.5,0.0,377.3,113.2,0.32,1000.0,28,2.8
251.5,0.0,320.7,113.2,0.33,1000.0,28,2.8
251.5,0.0,264.1,113.2,0.31,1000.0,28,2.9
213.8,37.73,377.3,113.2,0.37,1000.0,28,2.2
176.1,75.45,377.3,113.2,0.37,1000.0,28,2.1
424.9,0.0,637.3,191.2,0.29,1400.0,28,8.1
424.9,0.0,637.3,191.2,0.28,1400.0,28,11.4
424.9,0.0,637.3,191.2,0.29,1400.0,28,11.8
424.9,0.0,541.7,191.2,0.25,1400.0,28,9.5
424.9,0.0,446.1,191.2,0.17,1400.0,28,10.3
361.2,63.74,637.3,191.2,0.3,1400.0,28,8.3
297.4,127.46999999999998,637.3,191.2,0.29,1400.0,28,8.3
153.2,0.0,229.7,68.9,0.5,600.0,60,0.5
130.2,22.98,229.7,68.9,0.5,600.0,60,0.7
107.2,45.96,229.7,68.9,0.51,600.0,60,0.7
153.2,0.0,195.2,68.9,0.48,600.0,60,0.7
153.2,0.0,160.8,68.9,0.46,600.0,60,0.7
153.2,0.0,229.7,68.9,0.48,600.0,60,0.7
153.2,0.0,229.7,68.9,0.46,600.0,60,0.8
251.5,0.0,377.3,113.2,0.37,1000.0,60,3.1
251.5,0.0,377.3,113.2,0.35,1000.0,60,3.3
251.5,0.0,377.3,113.2,0.32,1000.0,60,3.8
251.5,0.0,320.7,113.2,0.33,1000.0,60,3.1
251.5,0.0,264.1,113.2,0.31,1000.0,60,3.1
213.8,37.73,377.3,113.2,0.37,1000.0,60,2.4
176.1,75.45,377.3,113.2,0.37,1000.0,60,2.5
424.9,0.0,637.3,191.2,0.29,1400.0,60,10.1
424.9,0.0,637.3,191.2,0.28,1400.0,60,11.8
424.9,0.0,637.3,191.2,0.29,1400.0,60,12.1
424.9,0.0,541.7,191.2,0.25,1400.0,60,11.2
424.9,0.0,446.1,191.2,0.17,1400.0,60,10.9
361.2,63.74,637.3,191.2,0.3,1400.0,60,8.3
297.4,127.46999999999998,637.3,191.2,0.29,1400.0,60,8.3
153.2,0.0,229.7,68.9,0.5,600.0,180,0.6
130.2,22.98,229.7,68.9,0.5,600.0,180,0.6
107.2,45.96,229.7,68.9,0.51,600.0,180,0.6
153.2,0.0,195.2,68.9,0.48,600.0,180,0.6
153.2,0.0,160.8,68.9,0.46,600.0,180,0.6
153.2,0.0,229.7,68.9,0.48,600.0,180,0.6
153.2,0.0,229.7,68.9,0.46,600.0,180,0.7
251.5,0.0,377.3,113.2,0.37,1000.0,180,4.5
251.5,0.0,377.3,113.2,0.35,1000.0,180,3.8
251.5,0.0,377.3,113.2,0.32,1000.0,180,4.6
251.5,0.0,320.7,113.2,0.33,1000.0,180,4.0
251.5,0.0,264.1,113.2,0.31,1000.0,180,3.6
213.8,37.73,377.3,113.2,0.37,1000.0,180,3.0
176.1,75.45,377.3,113.2,0.37,1000.0,180,2.7
424.9,0.0,637.3,191.2,0.29,1400.0,180,10.1
424.9,0.0,637.3,191.2,0.28,1400.0,180,12.2
424.9,0.0,637.3,191.2,0.29,1400.0,180,13.2
424.9,0.0,541.7,191.2,0.25,1400.0,180,11.1
424.9,0.0,446.1,191.2,0.17,1400.0,180,11.2
361.2,63.74,637.3,191.2,0.3,1400.0,180,8.6
297.4,127.46999999999998,637.3,191.2,0.29,1400.0,180,9.7
600.0,0.0,500.0,315.0,26.5,1700.0,3,0.94398
600.0,0.0,500.0,315.0,26.5,1700.0,3,1.4998
600.0,0.0,500.0,315.0,26.5,1700.0,3,1.28295
600.0,0.0,500.0,315.0,26.5,1700.0,3,1.19557
600.0,0.0,500.0,315.0,26.5,1700.0,3,1.02795
600.0,0.0,500.0,315.0,26.5,1700.0,3,1.16977
600.0,0.0,500.0,315.0,26.5,1700.0,3,1.46021
600.0,0.0,500.0,315.0,26.5,1700.0,3,1.9
600.0,0.0,500.0,315.0,26.5,1700.0,3,2.0
600.0,0.0,500.0,315.0,26.5,1700.0,3,2.2
600.0,0.0,500.0,315.0,26.5,1700.0,7,1.45559
600.0,0.0,500.0,315.0,26.5,1700.0,7,1.99352
600.0,0.0,500.0,315.0,26.5,1700.0,7,1.75982
600.0,0.0,500.0,315.0,26.5,1700.0,7,1.60402
600.0,0.0,500.0,315.0,26.5,1700.0,7,2.2
600.0,0.0,500.0,315.0,26.5,1700.0,7,1.9
600.0,0.0,500.0,315.0,26.5,1700.0,7,2.1
600.0,0.0,500.0,315.0,26.5,1700.0,7,2.5
600.0,0.0,500.0,315.0,26.5,1700.0,7,2.8
600.0,0.0,500.0,315.0,26.5,1700.0,7,3.0
600.0,0.0,500.0,315.0,26.5,1700.0,14,2.00194
600.0,0.0,500.0,315.0,26.5,1700.0,14,2.65251
600.0,0.0,500.0,315.0,26.5,1700.0,14,2.40091
600.0,0.0,500.0,315.0,26.5,1700.0,14,2.2188
600.0,0.0,500.0,315.0,26.5,1700.0,14,2.2
600.0,0.0,500.0,315.0,26.5,1700.0,14,2.7
600.0,0.0,500.0,315.0,26.5,1700.0,14,2.3
600.0,0.0,500.0,315.0,26.5,1700.0,14,2.8
600.0,0.0,500.0,315.0,26.5,1700.0,14,3.1
600.0,0.0,500.0,315.0,26.5,1700.0,14,3.1
600.0,0.0,500.0,315.0,26.5,1700.0,28,2.49671
600.0,0.0,500.0,315.0,26.5,1700.0,28,3.19886
600.0,0.0,500.0,315.0,26.5,1700.0,28,2.94727
600.0,0.0,500.0,315.0,26.5,1700.0,28,2.64409
600.0,0.0,500.0,315.0,26.5,1700.0,28,2.8
600.0,0.0,500.0,315.0,26.5,1700.0,28,2.9
600.0,0.0,500.0,315.0,26.5,1700.0,28,3.3
600.0,0.0,500.0,315.0,26.5,1700.0,28,3.1
600.0,0.0,500.0,315.0,26.5,1700.0,28,3.5
600.0,0.0,500.0,315.0,26.5,1700.0,28,3.8
450.0,0.0,515.0,295.0,30.0,1195.0,7,1.5
450.0,0.0,450.0,340.0,26.0,1230.0,7,4.7
300.0,0.0,685.0,275.0,29.0,1175.0,7,1.0
300.0,0.0,600.0,355.0,34.0,1290.0,7,2.9
225.0,0.0,770.0,265.0,33.0,1250.0,7,0.6
225.0,25.0,770.0,265.0,35.0,1305.0,7,0.3
225.0,112.5,770.0,265.0,35.0,1285.0,7,0.2
225.0,0.0,675.0,385.0,27.0,1295.0,7,1.8
225.0,25.0,675.0,390.0,40.0,1285.0,7,1.4
225.0,112.5,675.0,400.0,43.0,1300.0,7,0.8
